Number,Contract Company,Contract Type,Title,ERP Status,Status,Executed,Original Contract Amount,Approved Change Orders,Revised Contract Amount,Pending Change Orders,Draft Change Orders,Invoiced,Payments Issued,% Paid,Remaining Balance Outstanding,Signatures Required,Private,Vendor,Primary Contact,Vendor Zip Code,Vendor Street,Vendor State,Company Name,Vendor Fax,Vendor Phone,Project Number,Project Name,Vendor City,Email Address,Description,Signed Contract Received Date,Article 4 Subcontractor Bond,Article 8.4.1 Completed Operations Limit,Article 8.4.1 General Aggregate Limit,Article 8.5.1 Umbrella Limit,ME&S License Holder Name
PO-003,,Purchase Order,Subcontractor PO,Not Ready,Draft,No,1600,0,1600,0,0,0,0,0,1600,,Yes,,,,,,"McIntyre Elwell & Strammer General Contractors, Inc.",,,MES-23-015,Bay Haven Bldg 1 Construction,,,"<p>Provide all labor, materials, and equipment required to completely furnish and install all ___________work, and to include all accessories required for a complete and proper installation, as required by and in strict accordance with the Contract Documents, this Purchase Order, and scope of work defined herein.</p>
<p> </p>
<p><em><strong><span style=""font-size:9.5pt;"">ALL SITE WORKERS MUST BE COMPLIANT WITH THE JESSICA LUNSFORD ACT, WHICH REQUIRES A LEVEL II BACKGROUND CHECK</span></strong></em></p>
<p><span style=""font-size:9.5pt;""> </span></p>",,,,,,
PO-004,,Purchase Order,Material PO,Not Ready,Draft,No,0,0,0,0,0,0,0,0,0,,Yes,,,,,,"McIntyre Elwell & Strammer General Contractors, Inc.",,,MES-23-015,Bay Haven Bldg 1 Construction,,,"<p>Provide all <strong>(SCOPE)</strong> materials as required by and in strict accordance with the Contract Documents, this Purchase Order, and scope of work defined herein.</p>
<p> </p>
<p> </p>",,,,,,Mark Freeman
SC-004,,Subcontract,SALES TAX SAVINGS /PP BOND ,Not Ready,Draft,No,0,0,0,0,0,0,0,0,0,,Yes,,,,,,"McIntyre Elwell & Strammer General Contractors, Inc.",,,MES-23-015,Bay Haven Bldg 1 Construction,,,"<p>SALES TAX SAVINGS / P&amp;P BOND (IF NECESSARY)</p>
<p> </p>
<p>Subcontractor:</p>
<p>Scope / Title:</p>
<p>Cost Code:</p>
<p>Amount:</p>
<p> </p>
<p>Subcontractor Bond: Yes / No</p>
<p> </p>
<p>Insurance Limits:</p>
<p>Up to $249,999: General Aggregate / Completed Operations Limits - $1M/$1M</p>
<p>$250,000-$399,999: General Aggregate / Completed Operations Limits - $2M/$2M, Umbrella $2M</p>
<p>$400,000 and Above: General Aggregate / Completed Operations Limits - $2M/$2M, Umbrella $5M</p>",,,,,,
23015.001,"Michael J. Looney, Inc.",Subcontract,Electrical,Synced,Approved,Yes,465853.75,2848598.65,3314452.4,0,0,0,0,0,3314452.4,,Yes,"Michael J. Looney, Inc.",,34223,150 N Indiana Ave,FL,"McIntyre Elwell & Strammer General Contractors, Inc.",941-475-1852,941-474-3104,MES-23-015,Bay Haven Bldg 1 Construction,Englewood,,"<p><strong><span style=""font-size:12.0pt;"">Bay Haven Portables</span></strong></p>
<p><strong><span style=""font-size:12.0pt;"">Job #23-015 Sub Job 010</span></strong></p>
<p><strong><span style=""font-size:12.0pt;""> </span></strong></p>
<p><strong><em>Michael J. Looney, Inc.</em></strong></p>
<p><span style=""font-size:9.0pt;"">Scope of work:                                                                     </span><span style=""font-size:9.0pt;"">Electrical</span></p>
<p><span style=""font-size:9.0pt;"">Subcontract Amount: </span>                                           <span style=""font-size:9.0pt;"">$465,853.75</span></p>
<p><span style=""font-size:9.0pt;"">Subcontractor Bond Required: </span>                               <span style=""font-size:9.0pt;"">Yes</span></p>
<p><span style=""font-size:9.0pt;"">Cost Code: </span>                                                        <span style=""font-size:9.0pt;"">16100<br></span></p>
<p>Insurance Limits:</p>
<p> </p>
<p>$400,000 and Above: General Aggregate / Completed Operations Limits - $2M/$2M, Umbrella $5M</p>
<p><span style=""font-size:9.0pt;""> </span></p>",11/9/2022,IS,"$2,000,000 ","$2,000,000 ","$5,000,000 ",Mark Freeman
23015.002,"LT Plumbing, LLC",Subcontract,Plumbing,Synced,Approved,Yes,69970,425233.98,495203.98,0,0,0,0,0,495203.98,,Yes,"LT Plumbing, LLC",,34221,1504 18th Ave Dr E,FL,"McIntyre Elwell & Strammer General Contractors, Inc.",941-721-3222,941-729-1111,MES-23-015,Bay Haven Bldg 1 Construction,Palmetto,,"<p><span style=""font-size:8.5pt;"">Subcontractor:               LT PLUMBING</span></p>
<p><span style=""font-size:8.5pt;"">Scope / Title:                 PLUMBING         </span></p>
<p><span style=""font-size:8.5pt;"">Cost Code:                    15-400  </span></p>
<p><span style=""font-size:8.5pt;"">Amount:                        $69,970.00</span></p>
<p><span style=""font-size:8.5pt;""> </span></p>
<p><span style=""font-size:8.5pt;"">Subcontractor Bond:       No</span></p>
<p><span style=""font-size:8.5pt;""> </span></p>
<p><span style=""font-size:8.5pt;"">Insurance Limits:    </span>Up to $249,999: General Aggregate / Completed Operations Limits - $1M/$1M</p>
<p> </p>",11/17/2022,IS NOT,"$1,000,000 ","$1,000,000 ","$1,000,000 ",Josh Tomlinson
23015.5,"Universal Engineering Science, LLC",Purchase Order,Geotechnical,Synced,Approved,Yes,1600,0,1600,0,0,0,0,0,1600,,Yes,"Universal Engineering Science, LLC",,32865-8734,"
PO Box 628734",FL,"McIntyre Elwell & Strammer General Contractors, Inc.",407-423-3106,407-423-0504,MES-23-015,Bay Haven Bldg 1 Construction,Orlando,,"<p>Provide all labor, materials, and equipment required to completely furnish and install all <strong>geotechnical </strong>work, and to include all accessories required for a complete and proper installation, as required by and in strict accordance with the Contract Documents, this Purchase Order, and scope of work defined herein. Includes (6) hand borings as determined by the structural engineer and provision of a geotechnical report. </p>
<p> </p>
<p><em><strong><span style=""font-size:9.5pt;"">ALL SITE WORKERS MUST BE COMPLIANT WITH THE JESSICA LUNSFORD ACT, WHICH REQUIRES A LEVEL II BACKGROUND CHECK</span></strong></em></p>
<p><span style=""font-size:9.5pt;""> </span></p>",11/16/2022,,,,,
23015.501,Jay's Fencing LLC,Purchase Order,Temporary Fencing,Synced,Approved,Yes,875,36335,37210,0,0,0,0,0,37210,,Yes,Jay's Fencing LLC,,34241,6640 Ibis St,FL,"McIntyre Elwell & Strammer General Contractors, Inc.",941-955-3085,941-955-3053,MES-23-015,Bay Haven Bldg 1 Construction,Sarasota,jaysfencing@live.com,"<p> </p>
<p>Provide all labor, materials, and equipment required to relocate temporary fencing, and to include all accessories required for a complete and proper installation, as required by and in strict accordance with the Contract Documents, this Purchase Order, and scope of work defined herein.</p>
<p> </p>
<p><em><strong><span style=""font-size:9.5pt;"">ALL SITE WORKERS MUST BE COMPLIANT WITH THE JESSICA LUNSFORD ACT, WHICH REQUIRES A LEVEL II BACKGROUND CHECK</span></strong></em></p>",1/6/2023,,,,,
23015.502,Mark Williams Construction,Purchase Order,Form Sidewalk,Synced,Approved,Yes,2221,0,2221,0,0,0,0,0,2221,,Yes,Mark Williams Construction,,34240,"Company, Inc.
8191 Blaikie Ct  Suite A",FL,"McIntyre Elwell & Strammer General Contractors, Inc.",941-378-1997,941-378-2477,MES-23-015,Bay Haven Bldg 1 Construction,Sarasota,,"<p><span style=""font-size:10pt;"">Provide all labor, materials, and equipment to patch back sidewalks for plumbing installation. Includes approximately 250SF in (6) different locations, and to include all accessories required for a complete and proper installation, as required by and in strict accordance with Purchase Order, and scope of work defined herein.</span></p>
<p> </p>
<p><em><strong><span style=""font-size:9.5pt;"">ALL SITE WORKERS MUST BE COMPLIANT WITH THE JESSICA LUNSFORD ACT, WHICH REQUIRES A LEVEL II BACKGROUND CHECK</span></strong></em></p>
<p><span style=""font-size:9.5pt;""> </span></p>",1/12/2023,,,,,
23015.503,"Forristall Enterprises, Inc.",Purchase Order,Demo Finishes & Abatement,Synced,Approved,Yes,13890,0,13890,0,0,0,0,0,13890,,Yes,"Forristall Enterprises, Inc.",,34203,2712 63rd Ave E,FL,"McIntyre Elwell & Strammer General Contractors, Inc.",941-729-7345,941-729-8150,MES-23-015,Bay Haven Bldg 1 Construction,Bradenton,,<p>Provide all labor and equipment to demo finishes and provide abatement in Room 115.</p>,2/16/2023,,,,,
23015.003,"Duncan Seawall, Dock &",Subcontract, Walkway,Synced,Approved,Yes,64800,400,65200,0,0,0,0,0,65200,,Yes,"Duncan Seawall, Dock &",,34234,"Boat Lift, LLC
1714 Independence Blvd",FL,"McIntyre Elwell & Strammer General Contractors, Inc.",941-351-3378,941-351-1553,MES-23-015,Bay Haven Bldg 1 Construction,Sarasota,,"<p><span style=""text-decoration:underline;"">CE #006 - Walkway</span></p>
<p>Please do this SC to Duncan per Greg Schlabach</p>
<p><span style=""font-size:8.5pt;"">Subcontractor:               Duncan Seawall, Dock &amp; Boat Lift, LLC</span></p>
<p><span style=""font-size:8.5pt;"">Scope / Title:                 Walkway           </span></p>
<p><span style=""font-size:8.5pt;"">Cost Code:                    02-100  SJ 010</span></p>
<p><span style=""font-size:8.5pt;"">Amount:                        $64,800.00</span></p>
<p><span style=""font-size:8.5pt;""> </span></p>
<p><span style=""font-size:8.5pt;"">Subcontractor Bond:       No</span></p>
<p><span style=""font-size:8.5pt;""> </span></p>
<p><span style=""font-size:8.5pt;"">Insurance Limits:</span></p>
<p><span style=""font-size:8.5pt;"">Up to $249,999: General Aggregate / Completed Operations Limits - $1M/$1M</span></p>",4/4/2023,IS NOT,"$1,000,000 ","$1,000,000 ","$1,000,000 ",Josh Tomlinson
