Number,Contract Company,Contract Type,Title,ERP Status,Status,Executed,Original Contract Amount,Approved Change Orders,Revised Contract Amount,Pending Change Orders,Draft Change Orders,Invoiced,Payments Issued,% Paid,Remaining Balance Outstanding,Signatures Required,Private,Vendor,Primary Contact,Vendor Zip Code,Vendor Street,Vendor State,Company Name,Vendor Fax,Vendor Phone,Project Number,Project Name,Vendor City,Email Address,Description,Signed Contract Received Date,Article 4 Subcontractor Bond,Article 8.4.1 Completed Operations Limit,Article 8.4.1 General Aggregate Limit,Article 8.5.1 Umbrella Limit,ME&S License Holder Name
PO-001,,Purchase Order,08-100 (M&N) PO,Not Ready,Draft,No,0,0,0,0,0,0,0,0,0,,Yes,,,,,,"McIntyre Elwell & Strammer General Contractors, Inc.",,,MES-22-032,Freedom ES New Classroom Building,,,"<p>Provide all <strong>(SCOPE)</strong> materials as required by and in strict accordance with the Contract Documents, this Purchase Order, and scope of work defined herein.</p>
<p>Deliver to the project site the following:</p>
<p> </p>
<p>Doors and Frames:</p>
<p style=""display:inline !important;""> </p>
<p>Hardware:</p>
<p> </p>
<p>Deliver on or before <strong>&lt;INSERT DATE HERE&gt;</strong><br>- - - - - - - - - - -<br>The following amendment is applicable to this Purchase Order only, and supersedes any language on subsequent pages of this Purchase Order:</p>
<ol>
<li>Subcontractor will not assume risk or loss of work if same was caused by the egregious, willful, wanton, or willful negligence or acts of Contractor or their agents.</li>
<li>The indemnification shall not include the indemnification/defense of claims or damages resulting from any act or omission of gross negligence, willful, wanton, or intentional misconduct of Contractor, its officers, or agents, or directors, and/or employees. Subcontractor will only be responsible for indemnification of their proportionate share solely as covered by its insurance coverage.</li>
<li>A one year warranty is provided from date of substantial completion.</li>
<li>Any deduction of costs, off sets, or monies due to the Subcontractor’s neglect to carry out the Work, damages incurred due to Subcontractor’s negligence, or as a result of a breach, will be for this agreement only.</li>
<li>Determination of any award of attorney’s fees, expenses, and costs, will be decided by a court of competent jurisdiction and, if deemed appropriate and necessary, the non-prevailing party shall be responsible for associated reasonable attorney’s fees, if any. Prior to any litigation, the parties agree to mediation.</li>
</ol>",,,,,,
PO-002,,Purchase Order,07-330 (Sutter) Roofing PO,Not Ready,Draft,No,0,0,0,0,0,0,0,0,0,,Yes,,,,,,"McIntyre Elwell & Strammer General Contractors, Inc.",,,MES-22-032,Freedom ES New Classroom Building,,,"<p>Article #19 of the agreement shall be replaced by the following amendment:<br>“To the <strong>extent of the amount of the negligent act or omission caused by Subcontractor or someone for whose acts they are responsible</strong>, the S/S shall indemnify and hold harmless the Owner, the Architect, and the contractor and all of their agents and employees from and against all claims, losses and expenses, including but not limited to attorney’s fees, arising out of or resulting from the performance of the S/S’s Work under this purchase order.”<br><strong>No other terms of the Purchase Order are modified by this amendment.</strong></p>
<p> </p>
<p><strong>----------------------------</strong></p>
<p> </p>
<p> </p>",,,,,,
PO-003,,Purchase Order,Subcontractor PO,Not Ready,Draft,No,0,0,0,0,0,0,0,0,0,,Yes,,,,,,"McIntyre Elwell & Strammer General Contractors, Inc.",,,MES-22-032,Freedom ES New Classroom Building,,,"<p>Provide all labor, materials, and equipment required to completely furnish and install all <strong>(SCOPE)</strong> work, and to include all accessories required for a complete and proper installation, as required by and in strict accordance with the Contract Documents, this Purchase Order, and scope of work defined herein.</p>
<p> </p>
<p><em><strong><span style=""font-size:9.5pt;"">ALL SITE WORKERS MUST BE COMPLIANT WITH THE JESSICA LUNSFORD ACT, WHICH REQUIRES A LEVEL II BACKGROUND CHECK</span></strong></em></p>
<p><span style=""font-size:9.5pt;""> </span></p>",,,,,,
PO-004,,Purchase Order,Material PO,Not Ready,Draft,No,0,0,0,0,0,0,0,0,0,,Yes,,,,,,"McIntyre Elwell & Strammer General Contractors, Inc.",,,MES-22-032,Freedom ES New Classroom Building,,,"<p>Provide all <strong>(SCOPE)</strong> materials as required by and in strict accordance with the Contract Documents, this Purchase Order, and scope of work defined herein.</p>
<p> </p>
<p> </p>",,,,,,Mark Freeman
SC-001,,Subcontract,Subcontract Template,Not Ready,Draft,No,0,0,0,0,0,0,0,0,0,,Yes,,,,,,"McIntyre Elwell & Strammer General Contractors, Inc.",,,MES-22-032,Freedom ES New Classroom Building,,,"<p>Subcontractor:</p>
<p>Scope / Title:</p>
<p>Cost Code:</p>
<p>Amount:</p>
<p> </p>
<p>Subcontractor Bond: Yes/No</p>
<p> </p>
<p>Insurance Limits:</p>
<p>Up to $249,999: General Aggregate / Completed Operations Limits - $1M/$1M</p>
<p>$250,000-$399,999: General Aggregate / Completed Operations Limits - $2M/$2M, Umbrella $2M</p>
<p>$400,000 and Above: General Aggregate / Completed Operations Limits - $2M/$2M, Umbrella $5M</p>",,,,,,Mark Freeman
SC-002,,Subcontract,07-330 (Sutter) Roofing,Not Ready,Draft,No,0,0,0,0,0,0,0,0,0,,Yes,,,,,,"McIntyre Elwell & Strammer General Contractors, Inc.",,,MES-22-032,Freedom ES New Classroom Building,,,,,,,,,
22032.001,Artistry Painting Co.,Subcontract,Painting & Joint Caulking,Synced,Approved,Yes,32714,6199,38913,0,0,0,0,0,38913,,Yes,Artistry Painting Co.,,34285,"230 S Tamiami Trail, Suite 3D",FL,"McIntyre Elwell & Strammer General Contractors, Inc.",(941) 484-3937,941-484-3805,MES-22-032,Freedom ES New Classroom Building,Venice,,"<p>Subcontractor:   <span style=""color:#ff0000;"">ARTISTRY PAINTING</span></p>
<p>Scope / Title:         PAINTING</p>
<p>Cost Code:            09-900</p>
<p>Amount:               $32,714.00</p>
<p> </p>
<p>Subcontractor Bond: No</p>
<p> </p>
<p>Insurance Limits:</p>
<p>Up to $249,999: General Aggregate / Completed Operations Limits - $1M/$1M</p>",9/14/2022,IS NOT,"$1,000,000 ","$1,000,000 ","$1,000,000 ",Mark Freeman
22032.002,"B&I Contractors, Inc.",Subcontract,HVAC,Synced,Approved,Yes,469000,-22318.46,446681.54,0,0,0,0,0,446681.54,,Yes,"B&I Contractors, Inc.",,33916-5529,2701 Prince Street,FL,"McIntyre Elwell & Strammer General Contractors, Inc.",239-332-3185,239-332-4646,MES-22-032,Freedom ES New Classroom Building,Ft. Myers,,"<p><span style=""font-size:12pt;"">Subcontractor:       <span style=""color:#ff0000;"">B&amp;I Contractors, Inc.</span></span></p>
<p>Scope / Title:                     HVAC</p>
<p>Cost Code:                        15-600</p>
<p>Amount: <span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span>$469,000.00</p>
<p> </p>
<p>Subcontractor Bond: Yes</p>
<p> </p>
<p>Insurance Limits:</p>
<p>$400,000 and Above: General Aggregate / Completed Operations Limits - $2M/$2M, Umbrella $5M</p>",9/6/2022,IS,"$2,000,000 ","$2,000,000 ","$5,000,000 ",Mark Freeman
22032.003,"Castelli Construction, LLC",Subcontract,"Demo, Sitework & Utilties",Not Ready,Terminated,No,201622,0,201622,0,0,0,0,0,201622,,Yes,"Castelli Construction, LLC",,15670,1868 Lions Club Rd,PA,"McIntyre Elwell & Strammer General Contractors, Inc.",,941-961-4294,MES-22-032,Freedom ES New Classroom Building,New Alexandria,,"<p><span style=""font-size:12pt;"">Subcontractor: <span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span>Spectrum Underground, Inc.</span></p>
<p>Scope / Title:                     Sitework</p>
<p>Cost Code:                        02-010</p>
<p>Amount:<span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span>$217,593.00</p>
<p> </p>
<p>Subcontractor Bond:No</p>
<p> </p>
<p>Insurance Limits:</p>
<p>Up to $249,999: General Aggregate / Completed Operations Limits - $1M/$1M</p>
<p>$250,000-$399,999: General Aggregate / Completed Operations Limits - $2M/$2M, Umbrella $2M</p>
<p>$400,000 and Above: General Aggregate / Completed Operations Limits - $2M/$2M, Umbrella $5M</p>",,IS NOT,"$1,000,000 ","$1,000,000 ","$1,000,000 ",Mark Freeman
22032.004,"CCS of Sarasota, Inc.",Subcontract,Stucco,Synced,Approved,Yes,56580,0,56580,0,0,0,0,0,56580,,Yes,"CCS of Sarasota, Inc.",,34211,11045 Gatewood Dr,FL,"McIntyre Elwell & Strammer General Contractors, Inc.",941-747-9866,941-747-9800,MES-22-032,Freedom ES New Classroom Building,Bradenton,,"<p>Subcontractor:         <span style=""font-size:14pt;color:#ff0000;"">CCS</span></p>
<p>Scope / Title:            Stucco</p>
<p>Cost Code:               09-100</p>
<p>Amount:                  $56,580</p>
<p> </p>
<p>Subcontractor Bond: Yes/No</p>
<p> </p>
<p>Insurance Limits:</p>
<p>Up to $249,999: General Aggregate / Completed Operations Limits - $1M/$1M</p>
<p> </p>",11/2/2022,IS NOT,"$1,000,000 ","$1,000,000 ","$1,000,000 ",Josh Tomlinson
