City,County,Type
Arcadia,Desoto,City
Brownville,Desoto,CDP
Fort Ogden,Desoto,CDP
Lake Suzy,Desoto,CDP
Nocatee,Desoto,CDP
Owens,Desoto,CDP
Bowling Green,Hardee,City
Fort Green,Hardee,CDP
Fort Green Springs,Hardee,CDP
Limestone,Hardee,CDP
Ona,Hardee,CDP
Wauchula,Hardee,City
Zolfo Springs,Hardee,Town
Apollo Beach,Hillsborough,CDP
Balm,Hillsborough,CDP
Bloomingdale,Hillsborough,CDP
Brandon,Hillsborough,CDP
Carrollwood,Hillsborough,CDP
Cheval,Hillsborough,CDP
Citrus Park,Hillsborough,CDP
Dover,Hillsborough,CDP
East Lake-Orient Park,Hillsborough,CDP
Egypt Lake-Leto,Hillsborough,CDP
Fish Hawk,Hillsborough,CDP
Gibsonton,Hillsborough,CDP
Greater Carrollwood,Hillsborough,CDP
Greater Northdale,Hillsborough,CDP
Greater Sun Center,Hillsborough,CDP
Keystone,Hillsborough,CDP
Lake Magdalene,Hillsborough,CDP
Lithia,Hillsborough,CDP
Lutz,Hillsborough,CDP
Mango,Hillsborough,CDP
Northdale,Hillsborough,CDP
Palm River-Clair Mel,Hillsborough,CDP
Pebble Creek,Hillsborough,CDP
Plant City,Hillsborough,City
Progress Village,Hillsborough,CDP
Riverview,Hillsborough,CDP
Ruskin,Hillsborough,CDP
Seffner,Hillsborough,CDP
Sun City,Hillsborough,CDP
Sun City Center,Hillsborough,CDP
Tampa,Hillsborough,City
Temple Terrace,Hillsborough,City
Thonotosassa,Hillsborough,CDP
Town and Country,Hillsborough,CDP
Town 'n' Country,Hillsborough,CDP
University,Hillsborough,CDP
Valrico,Hillsborough,CDP
Westchase,Hillsborough,CDP
Wimauma,Hillsborough,CDP
Anna Maria,Manatee,City
Bayshore Gardens,Manatee,CDP
Bradenton,Manatee,City
Bradenton Beach,Manatee,City
Cortez,Manatee,CDP
Duette,Manatee,CDP
Ellenton,Manatee,CDP
Holmes Beach,Manatee,City
Lakewood Ranch,Manatee,CDP
Longboat Key,Manatee,Town
Memphis,Manatee,CDP
Myakka City,Manatee,CDP
Oneco,Manatee,CDP
Palma Sola,Manatee,CDP
Palmetto,Manatee,City
Parrish,Manatee,CDP
Rubonia,Manatee,CDP
Samoset,Manatee,CDP
South Bradenton,Manatee,CDP
Terra Ceia,Manatee,CDP
West Bradenton,Manatee,CDP
West Samoset,Manatee,CDP
Whitfield,Manatee,CDP
Bardmoor,Pinellas,CDP
Bay Pines,Pinellas,CDP
Bear Creek,Pinellas,CDP
Belleair,Pinellas,Town
Belleair Beach,Pinellas,City
Belleair Bluffs,Pinellas,City
Belleair Shore,Pinellas,Town
Clearwater,Pinellas,City
Dunedin,Pinellas,City
East Lake,Pinellas,CDP
Feather Sound,Pinellas,CDP
Gandy,Pinellas,CDP
Greenbriar,Pinellas,CDP
Gulfport,Pinellas,City
Harbor Bluffs,Pinellas,CDP
Highpoint,Pinellas,CDP
Indian Rocks Beach,Pinellas,City
Indian Shores,Pinellas,Town
Kenneth City,Pinellas,Town
Lake Seminole,Pinellas,CDP
Largo,Pinellas,City
Lealman,Pinellas,CDP
Madeira Beach,Pinellas,City
North Redington Beach,Pinellas,Town
Oldsmar,Pinellas,City
Palm Harbor,Pinellas,CDP
Pinellas Park,Pinellas,City
Redington Beach,Pinellas,Town
Redington Shores,Pinellas,Town
Ridgecrest,Pinellas,CDP
Safety Harbor,Pinellas,City
Saint Petersburg,Pinellas,City
Seminole,Pinellas,City
South Highpoint,Pinellas,CDP
South Pasadena,Pinellas,City
St Petersburg,Pinellas,City
St. Pete Beach,Pinellas,City
St. Petersburg,Pinellas,City
Tarpon Springs,Pinellas,City
Tierra Verde,Pinellas,CDP
Treasure Island,Pinellas,City
West Lealman,Pinellas,CDP
Bee Ridge,Sarasota,CDP
Desoto Lakes,Sarasota,CDP
Englewood,Sarasota,CDP
Fruitville,Sarasota,CDP
Gulf Gate Estates,Sarasota,CDP
Kensington Park,Sarasota,CDP
Lake Sarasota,Sarasota,CDP
Laurel,Sarasota,CDP
Nokomis,Sarasota,CDP
North Port,Sarasota,City
North Sarasota,Sarasota,CDP
Osprey,Sarasota,CDP
Plantation,Sarasota,CDP
Ridge Wood Heights,Sarasota,CDP
Sarasota,Sarasota,City
Sarasota Springs,Sarasota,CDP
Siesta Key,Sarasota,CDP
South Gate Ridge,Sarasota,CDP
South Sarasota,Sarasota,CDP
South Venice,Sarasota,CDP
The Meadows,Sarasota,CDP
Vamo,Sarasota,CDP
Venice,Sarasota,City
Venice Gardens,Sarasota,CDP
Warm Mineral Springs,Sarasota,CDP
