Number,Contract Company,Contract Type,Title,Executed,Original Contract Amount,Approved Change Orders,Revised Contract Amount,Remaining Balance Outstanding,Vendor,Project Number,Project Name,Vendor City,Signed Contract Received Date
24024.004,"Bennett Contracting, Inc.",Subcontract,Sitework,Yes,1758636,-9704.14,1748931.86,1748931.86,"Bennett Contracting, Inc.",MES-24-024,MCS Palma Sola ES Campus Renovations,Bradenton,11/6/2024
24024.515,"Bennett Contracting, Inc.",Purchase Order,Temporary Drive Mat System,Yes,33210,0,33210,33210,"Bennett Contracting, Inc.",MES-24-024,MCS Palma Sola ES Campus Renovations,Bradenton,11/7/2024
24024.531,BMR Insulation Contracting Inc,Purchase Order,Temp Waterline Insulation ,Yes,6993.01,0,6993.01,6993.01,BMR Insulation Contracting Inc,MES-24-024,MCS Palma Sola ES Campus Renovations,Bradenton,4/24/2025
24024.002,Cole Contracting Corp,Subcontract, Temp Covered Walkway/Sidewalk,Yes,86144,2888.6,89032.6,89032.6,Cole Contracting Corp,MES-24-024,MCS Palma Sola ES Campus Renovations,Bradenton,10/15/2024
24024.013,"Commercial Plastering USA, LLC",Subcontract,Stucco,Yes,45000,7240,52240,52240,"Commercial Plastering USA, LLC",MES-24-024,MCS Palma Sola ES Campus Renovations,Bradenton,12/12/2024
24024.001,"Forristall Enterprises, Inc.",Subcontract,Buildings Demolition,Yes,563820,143663.02,707483.02,707483.02,"Forristall Enterprises, Inc.",MES-24-024,MCS Palma Sola ES Campus Renovations,Bradenton,11/14/2024
24024.012,"Key Glass, Inc.",Subcontract,"Storefront, Windows, Glass & G",Yes,542125,-170262,371863,371863,"Key Glass, Inc.",MES-24-024,MCS Palma Sola ES Campus Renovations,Bradenton,12/30/2024
24024.031,"MMP Contracting, LLC",Subcontract,Temp Sidewalk,Yes,9738,0,9738,9738,"MMP Contracting, LLC",MES-24-024,MCS Palma Sola ES Campus Renovations,Bradenton,12/27/2024
24024.54,Precision Pressure Washing LLC,Purchase Order,Sidewalk Pressure Washing,Yes,1095,0,1095,1095,Precision Pressure Washing LLC,MES-24-024,MCS Palma Sola ES Campus Renovations,Bradenton,1/23/2026
24024.529,Axis Portable Air LLC,Purchase Order,Bldg 18 Dehumidifiers,Yes,25642.55,6231.68,31874.23,31874.23,Axis Portable Air LLC,MES-24-024,MCS Palma Sola ES Campus Renovations,Chandler,3/24/2025
24024.505,Johnson Controls Fire,Purchase Order,Fire Alarm Safe Off ,Yes,18000,7572.64,25572.64,25572.64,Johnson Controls Fire,MES-24-024,MCS Palma Sola ES Campus Renovations,Chicago,10/21/2024
24024.542,Johnson Controls Fire,Purchase Order,Temp Annunciator Panel Tie-in ,Yes,825,0,825,825,Johnson Controls Fire,MES-24-024,MCS Palma Sola ES Campus Renovations,Chicago,2/6/2026
24024.543,Johnson Controls Fire,Purchase Order,Existing Fire Alarm System  ,Yes,3245,0,3245,3245,Johnson Controls Fire,MES-24-024,MCS Palma Sola ES Campus Renovations,Chicago,2/12/2026
24024.546,Johnson Controls Fire,Purchase Order,Bldgs 11 & 12 Fire Alarm Demo,Yes,6890,0,6890,6890,Johnson Controls Fire,MES-24-024,MCS Palma Sola ES Campus Renovations,Chicago,3/11/2026
